n;t / s;N / Imp;;Dicke z / µ;Zählrate n;n_eff;Parameters;Predicted;Residuals;x_Plot;y_Plot;µ;E / MeV
1;1;631;;0,1;797,3;858,9346;16,9517;861,3667;-2,4322;0,1;861,3667;;--
2;2;617;;7;716;765,317;148,8958;771,1023;-5,7853;21,9746;660,058;;--
3;3;553;;14;705,9;753,789;0,0832;709,4977;44,2913;43,8492;573,3767;832,2498;0,1273
4;4,1;548;;21;612;647,6739;453,8733;665,2885;-17,6146;65,7238;512,7675;;--
5;5;586;;22;601;635,367;7,6049E-03;659,9242;-24,5572;87,5984;462,7647;76,0487;0,7128
6;6;599;;28;578,7;610,4965;243,2625;631,2566;-20,7601;109,473;419,9101;;--
7;7;599;;42;573,6;604,8234;1,5396E-03;579,2745;25,5489;131,3477;382,8357;15,3962;2,2512
8;8,1;577;;50;525,7;551,8077;;554,8222;-3,0145;153,2223;350,6348;;
9;9;635;;55;526,5;552,6892;;540,727;11,9622;175,0969;322,5796;;
10;10;573;;85;454,1;473,4494;;468,2942;5,1552;196,9715;298,0598;;
11;11;595;;100;410,5;426,2477;;437,696;-11,4483;218,8461;276,5586;;
12;12,1;574;;110;400,3;415,2606;;418,9532;-3,6926;240,7207;257,6379;;
13;13;618;;165;329,5;339,5699;;335,0554;4,5145;262,5953;240,9259;;
14;14;600;;200;282,4;289,7647;;294,9136;-5,149;284,4699;226,1069;;
15;15;608;;220;269,8;276,5143;;275,4996;1,0147;306,3445;212,913;;
16;16,1;591;;345;192;195,3761;;192,892;2,4841;328,2191;201,1165;;
17;17;557;;400;167,5;170,0637;;170,0268;0,0369;350,0937;190,5239;;
18;18;584;;600;117;118,2451;;118,2663;-0,0211;371,9684;180,9708;;
19;19;627;;800;91,5;92,2598;;88,9697;3,29;393,843;172,3171;;
20;20,1;618;;1000;64,4;64,7754;;69,3486;-4,5732;415,7176;164,4438;;
21;21;584;;1200;50,4;50,6297;;55,3452;-4,7156;437,5922;157,2493;;
22;22;601;;1400;46,1;46,2921;;45,1443;1,1477;459,4668;150,6471;;
23;23;595;;1600;42;42,1594;;37,6669;4,4925;481,3414;144,5632;;
24;24,1;612;;2000;29,9;29,9807;;28,1405;1,8401;503,216;138,9347;;
25;25;626;;4000;16,4;16,4242;;17,4663;-1,0421;525,0906;133,7075;;
26;26;534;;5600;16;16,0231;;16,9955;-0,9724;546,9652;128,8353;;
27;27;595;;;;;;;;568,8398;124,2786;;
28;28;602;;;;;;;;590,7145;120,0033;;
29;29;574;;;;;;;;612,5891;115,9801;;
30;30;585;;;;;;;;634,4637;112,1836;;
31;31,1;595;;;;;;;;656,3383;108,5921;;
32;32;586;;;;;;;;678,2129;105,1866;;
33;33;581;;;;;;;;700,0875;101,9507;;
34;34;595;;;;;;;;721,9621;98,87;;
35;35,1;618;;;;;;;;743,8367;95,9321;;
36;36;641;;;;;;;;765,7113;93,1259;;
37;37;613;;;;;;;;787,5859;90,4419;;
38;38;580;;;;;;;;809,4605;87,8715;;
39;39,1;593;;;;;;;;831,3352;85,4071;;
40;40;627;;;;;;;;853,2098;83,0421;;
41;41;563;;;;;;;;875,0844;80,7704;;
42;42;595;;;;;;;;896,959;78,5867;;
43;43,1;623;;;;;;;;918,8336;76,486;;
44;44;633;;;;;;;;940,7082;74,4641;;
45;45;634;;;;;;;;962,5828;72,5168;;
46;46;563;;;;;;;;984,4574;70,6405;;
47;47,1;607;;;;;;;;1006,332;68,8319;;
48;48;571;;;;;;;;1028,2066;67,0878;;
49;49;617;;;;;;;;1050,0812;65,4055;;
50;50;623;;;;;;;;1071,9559;63,7823;;
51;51,1;602;;;;;;;;1093,8305;62,2157;;
52;52;608;;;;;;;;1115,7051;60,7033;;
53;53;640;;;;;;;;1137,5797;59,2431;;
54;54;575;;;;;;;;1159,4543;57,833;;
55;55,1;605;;;;;;;;1181,3289;56,471;;
56;56;594;;;;;;;;1203,2035;55,1554;;
57;57;628;;;;;;;;1225,0781;53,8844;;
58;58,1;641;;;;;;;;1246,9527;52,6563;;
59;59;565;;;;;;;;1268,8273;51,4697;;
60;60;578;;;;;;;;1290,702;50,323;;
61;61;601;;;;;;;;1312,5766;49,2149;;
62;62,1;579;;;;;;;;1334,4512;48,1439;;
63;63;605;;;;;;;;1356,3258;47,1087;;
64;64;615;;;;;;;;1378,2004;46,1082;;
