E_B#3 / keV	N_B#3	E_B#4 / keV	N_B#4
-8,2	2	-8,2	1
-7,4	1	-7,4	0
-6,6	2	-6,6	0
-5,8	0	-5,8	2
-5,0	8	-5,0	26
-4,2	108	-4,2	237
-3,3	340	-3,3	657
-2,5	449	-2,5	832
-1,7	439	-1,7	922
-0,9	412	-0,9	949
-0,1	419	-0,1	940
0,7	386	0,7	1070
1,5	391	1,5	1102
2,3	327	2,3	1214
3,2	378	3,2	1203
4,0	409	4,0	1250
4,8	443	4,8	1305
5,6	398	5,6	1329
6,4	458	6,4	1422
7,2	428	7,2	1423
8,0	435	8,0	1474
8,9	416	8,9	1429
9,7	455	9,7	1473
10,5	456	10,5	1567
11,3	469	11,3	1513
12,1	484	12,1	1688
12,9	542	12,9	1690
13,7	557	13,7	1793
14,5	514	14,5	1843
15,4	527	15,4	2019
16,2	523	16,2	2152
17,0	514	17,0	2537
17,8	558	17,8	2719
18,6	582	18,6	2887
19,4	612	19,4	3175
20,2	612	20,2	3042
21,1	609	21,1	3019
21,9	611	21,9	2757
22,7	639	22,7	2553
23,5	702	23,5	2379
24,3	743	24,3	2206
25,1	838	25,1	2083
25,9	940	25,9	2033
26,7	1267	26,7	1875
27,6	1631	27,6	1858
28,4	2151	28,4	1763
29,2	3009	29,2	1799
30,0	3638	30,0	1823
30,8	4329	30,8	1823
31,6	4796	31,6	1862
32,4	4822	32,4	1788
33,3	4572	33,3	1808
34,1	4073	34,1	1770
34,9	3489	34,9	1754
35,7	2884	35,7	1807
36,5	2380	36,5	1739
37,3	2165	37,3	1851
38,1	1856	38,1	1728
38,9	1564	38,9	1947
39,8	1353	39,8	1770
40,6	1214	40,6	1920
41,4	1013	41,4	1887
42,2	941	42,2	2109
43,0	854	43,0	2094
43,8	752	43,8	2199
44,6	744	44,6	2369
45,5	703	45,5	2430
46,3	714	46,3	2834
47,1	649	47,1	3029
47,9	686	47,9	3232
48,7	715	48,7	3330
49,5	729	49,5	3456
50,3	702	50,3	3654
51,1	705	51,1	3477
52,0	728	52,0	3494
52,8	760	52,8	3222
53,6	740	53,6	3048
54,4	754	54,4	3041
55,2	754	55,2	2874
56,0	745	56,0	2728
56,8	778	56,8	2749
57,6	791	57,6	2752
58,5	778	58,5	2915
59,3	815	59,3	2790
60,1	772	60,1	2802
60,9	797	60,9	2731
61,7	808	61,7	2633
62,5	804	62,5	2778
63,3	811	63,3	2858
64,2	797	64,2	2774
65,0	797	65,0	2855
65,8	807	65,8	2789
66,6	844	66,6	2955
67,4	824	67,4	2846
68,2	830	68,2	3057
69,0	846	69,0	3136
69,8	828	69,8	3199
70,7	849	70,7	3397
71,5	890	71,5	3529
72,3	828	72,3	3713
73,1	863	73,1	3976
73,9	867	73,9	4414
74,7	868	74,7	4739
