wert,wert,wert
i,t,n
1,1,483
2,2,493
3,3,488
4,4.1,519
5,5,469
6,6,521
7,7,508
8,8.1,488
9,9,502
10,10,482
11,11,492
12,12.1,509
13,13,514
14,14,469
15,15,506
16,16.1,514
17,17,468
18,18,513
19,19,513
20,20.1,478
21,21,532
22,22,544
23,23,487
24,24.1,515
25,25,503
26,26,489
27,27,468
28,28,492
29,29,436
30,30,505
31,31,452
32,32,480
33,33,505
34,34,494
35,35.1,483
36,36,522
37,37,492
38,38,505
39,39.1,501
40,40,467
41,41,448
42,42,486
43,43.1,528
44,44,503
45,45,469
46,46,485
47,47.1,487
48,48,514
49,49,506
50,50,510
51,51.1,495
52,52,513
53,53,533
54,54,510
55,55.1,520
56,56,514
57,57,517
58,58.1,519
59,59,468
60,60,472
61,61,489
62,62.1,496
63,63,472
64,64,526
65,65,522
66,66.1,486
67,67,479
68,68,489
69,69,514
70,70.1,541
71,71,523
72,72,493
73,73,456
74,74.1,499
75,75,494
76,76,507
77,77,517
78,78.1,506
79,79,503
80,80,475
81,81,495
82,82.1,506
83,83,529
84,84,482
85,85,509
86,86,522
87,87,498
88,88,509
89,89.1,539
90,90,484
91,91,495
92,92,496
93,93.1,560
94,94,482
95,95,478
96,96,483
97,97.1,506
98,98,509
99,99,512
100,100,512
101,101.1,491
102,102,488
103,103,507
104,104,514
105,105.1,501
106,106,479
107,107,510
108,108,501
109,109.1,493
110,110,503
111,111,506
112,112,527
113,113,525
114,114,478
115,115,502
116,116,474
117,117,525
118,118,504
119,119,500
120,120.1,496
121,121,482
122,122,505
123,123,466
124,124.1,473
125,125,507
126,126,491
127,127,480
128,128.1,482
129,129,473
130,130,510
131,131,507
132,132.1,513
133,133,507
134,134,481
135,135,495
136,136.1,476
137,137,511
138,138,464
139,139,485
140,140.1,502
141,141,516
142,142,476
143,143.1,494
144,144,498
145,145,497
146,146,522
147,147.1,503
148,148,491
149,149,520
150,150,522
151,151.1,481
152,152,481
153,153,507
154,154,519
155,155.1,497
156,156,492
157,157,470
158,158,531
159,159.1,500
160,160,523
161,161,539
162,162,515
163,163.1,473
164,164,491
165,165,549
166,166,481
167,167.1,525
168,168,542
169,169,503
170,170,499
171,171,497
172,172,500
173,173,511
174,174.1,479
175,175,509
176,176,520
177,177,475
178,178.1,496
179,179,500
180,180,509
181,181,486
182,182.1,480
183,183,516
184,184,495
185,185,472
186,186.1,484
187,187,460
188,188,533
189,189,480
190,190.1,465
191,191,476
192,192,495
193,193,519
194,194.1,471
195,195,479
196,196,499
197,197,474
198,198,490
199,199,504
200,200,507
201,201,491
202,202,516
203,203,505
204,204,474
205,205.1,490
206,206,499
207,207,498
208,208,518
209,209.1,489
210,210,520
211,211,556
212,212,515
213,213.1,510
214,214,465
215,215,532
216,216,491
217,217.1,497
218,218,511
219,219,511
220,220,500
221,221.1,517
222,222,500
223,223,511
224,224,501
225,225.1,461
226,226,526
227,227,516
228,228,516
229,229,506
230,230,509
231,231,481
232,232.1,529
233,233,492
234,234,492
235,235,507
236,236.1,476
237,237,494
238,238,510
239,239,486
240,240.1,510
241,241,478
242,242,515
243,243,518
244,244.1,496
245,245,475
246,246,508
247,247,499
248,248.1,500
249,249,521
250,250,470
251,251,485
252,252.1,572
253,253,509
254,254,497
255,255,507
256,256,470
257,257,490
258,258,485
259,259.1,496
260,260,495
261,261,509
262,262,513
263,263.1,526
264,264,491
265,265,513
266,266,506
267,267.1,501
268,268,522
269,269,487
270,270,484
271,271.1,497
272,272,473
273,273,485
274,274,482
275,275.1,520
276,276,496
277,277,489
278,278,513
279,279.1,528
280,280,526
281,281,532
282,282,504
283,283,514
284,284,467
285,285,498
286,286.1,492
287,287,478
288,288,500
289,289,532
290,290.1,521
291,291,490
292,292,513
293,293,484
294,294.1,522
295,295,490
296,296,504
297,297,521
298,298.1,509
